ID,Area,Year,Income Type,Source,Period Type,State Name,Income,Income Rank,Population
391486,Beaverhead,2018,Per capita income,BEA,Annual,Montana,"$44,664",28,"9,404"
391488,Big Horn,2018,Per capita income,BEA,Annual,Montana,"$30,533",56,"13,338"
391490,Blaine,2018,Per capita income,BEA,Annual,Montana,"$31,263",55,"6,807"
265907,Wibaux,2017,Per capita income,BEA,Annual,Montana,"$46,683",14,"1,020"
265909,Yellowstone,2017,Per capita income,BEA,Annual,Montana,"$50,035",4,"158,980"
265913,Treasure,2017,Per capita income,BEA,Annual,Montana,"$46,863",12,679
265915,Valley,2017,Per capita income,BEA,Annual,Montana,"$41,337",32,"7,433"
265917,Wheatland,2017,Per capita income,BEA,Annual,Montana,"$35,177",45,"2,140"
265919,Sweet Grass,2017,Per capita income,BEA,Annual,Montana,"$42,048",30,"3,691"
265921,Teton,2017,Per capita income,BEA,Annual,Montana,"$43,992",23,"6,085"
265923,Toole,2017,Per capita income,BEA,Annual,Montana,"$43,255",27,"4,886"
265925,Sheridan,2017,Per capita income,BEA,Annual,Montana,"$45,855",17,"3,469"
265927,Silver Bow,2017,Per capita income,BEA,Annual,Montana,"$47,943",7,"34,602"
265929,Stillwater,2017,Per capita income,BEA,Annual,Montana,"$49,040",5,"9,419"
265931,Roosevelt,2017,Per capita income,BEA,Annual,Montana,"$31,565",53,"11,098"
265933,Rosebud,2017,Per capita income,BEA,Annual,Montana,"$41,167",33,"9,248"
265935,Sanders,2017,Per capita income,BEA,Annual,Montana,"$33,426",49,"11,711"
265937,Prairie,2017,Per capita income,BEA,Annual,Montana,"$43,463",25,"1,109"
265939,Ravalli,2017,Per capita income,BEA,Annual,Montana,"$42,123",29,"42,563"
265941,Richland,2017,Per capita income,BEA,Annual,Montana,"$55,167",1,"11,039"
265943,Pondera,2017,Per capita income,BEA,Annual,Montana,"$40,688",35,"5,960"
265945,Powder River,2017,Per capita income,BEA,Annual,Montana,"$33,759",48,"1,752"
265947,Powell,2017,Per capita income,BEA,Annual,Montana,"$40,884",34,"6,795"
265949,Park,2017,Per capita income,BEA,Annual,Montana,"$47,033",11,"16,353"
265951,Petroleum,2017,Per capita income,BEA,Annual,Montana,"$34,407",46,523
265953,Phillips,2017,Per capita income,BEA,Annual,Montana,"$35,634",43,"4,119"
265956,Missoula,2017,Per capita income,BEA,Annual,Montana,"$46,829",13,"117,441"
265959,Musselshell,2017,Per capita income,BEA,Annual,Montana,"$39,433",37,"4,639"
265962,Madison,2017,Per capita income,BEA,Annual,Montana,"$48,035",6,"8,175"
265964,Meagher,2017,Per capita income,BEA,Annual,Montana,"$44,763",21,"1,851"
265966,Mineral,2017,Per capita income,BEA,Annual,Montana,"$38,312",39,"4,255"
265968,Liberty,2017,Per capita income,BEA,Annual,Montana,"$35,320",44,"2,427"
265970,Lincoln,2017,Per capita income,BEA,Annual,Montana,"$34,299",47,"19,440"
265972,McCone,2017,Per capita income,BEA,Annual,Montana,"$32,104",52,"1,718"
265973,Judith Basin,2017,Per capita income,BEA,Annual,Montana,"$47,411",8,"1,961"
265975,Lake,2017,Per capita income,BEA,Annual,Montana,"$36,982",42,"30,273"
265977,Lewis and Clark,2017,Per capita income,BEA,Annual,Montana,"$47,328",9,"67,773"
265979,Granite,2017,Per capita income,BEA,Annual,Montana,"$40,572",36,"3,358"
265981,Hill,2017,Per capita income,BEA,Annual,Montana,"$43,393",26,"16,463"
265983,Jefferson,2017,Per capita income,BEA,Annual,Montana,"$46,256",15,"11,891"
265985,Garfield,2017,Per capita income,BEA,Annual,Montana,"$37,318",41,"1,293"
265987,Glacier,2017,Per capita income,BEA,Annual,Montana,"$32,960",51,"13,640"
265989,Golden Valley,2017,Per capita income,BEA,Annual,Montana,"$52,800",2,822
265991,Flathead,2017,Per capita income,BEA,Annual,Montana,"$45,760",18,"100,000"
265994,Gallatin,2017,Per capita income,BEA,Annual,Montana,"$51,751",3,"107,810"
265997,Deer Lodge,2017,Per capita income,BEA,Annual,Montana,"$38,219",40,"9,106"
265999,Fallon,2017,Per capita income,BEA,Annual,Montana,"$47,322",10,"3,009"
266001,Fergus,2017,Per capita income,BEA,Annual,Montana,"$42,200",28,"11,291"
266003,Custer,2017,Per capita income,BEA,Annual,Montana,"$43,680",24,"11,721"
266005,Daniels,2017,Per capita income,BEA,Annual,Montana,"$31,067",54,"1,737"
266007,Dawson,2017,Per capita income,BEA,Annual,Montana,"$41,576",31,"8,950"
266010,Cascade,2017,Per capita income,BEA,Annual,Montana,"$45,959",16,"81,654"
266013,Chouteau,2017,Per capita income,BEA,Annual,Montana,"$33,066",50,"5,765"
266016,Broadwater,2017,Per capita income,BEA,Annual,Montana,"$38,717",38,"5,936"
266018,Carbon,2017,Per capita income,BEA,Annual,Montana,"$45,444",19,"10,696"
266020,Carter,2017,Per capita income,BEA,Annual,Montana,"$44,869",20,"1,222"
266022,Beaverhead,2017,Per capita income,BEA,Annual,Montana,"$44,381",22,"9,434"
266024,Big Horn,2017,Per capita income,BEA,Annual,Montana,"$28,698",56,"13,360"
266026,Blaine,2017,Per capita income,BEA,Annual,Montana,"$28,810",55,"6,708"
135725,Yellowstone,2016,Per capita income,BEA,Annual,Montana,"$47,467",10,"158,437"
135731,Valley,2016,Per capita income,BEA,Annual,Montana,"$42,343",22,"7,539"
135733,Wheatland,2016,Per capita income,BEA,Annual,Montana,"$35,138",46,"2,117"
135735,Wibaux,2016,Per capita income,BEA,Annual,Montana,"$39,643",31,"1,093"
135737,Teton,2016,Per capita income,BEA,Annual,Montana,"$43,548",19,"6,056"
135739,Toole,2016,Per capita income,BEA,Annual,Montana,"$37,476",38,"4,977"
135741,Treasure,2016,Per capita income,BEA,Annual,Montana,"$52,325",2,692
135743,Silver Bow,2016,Per capita income,BEA,Annual,Montana,"$46,395",11,"34,553"
135745,Stillwater,2016,Per capita income,BEA,Annual,Montana,"$44,314",14,"9,406"
135747,Sweet Grass,2016,Per capita income,BEA,Annual,Montana,"$44,264",15,"3,623"
135749,Rosebud,2016,Per capita income,BEA,Annual,Montana,"$36,626",44,"9,287"
135751,Sanders,2016,Per capita income,BEA,Annual,Montana,"$33,125",52,"11,534"
135753,Sheridan,2016,Per capita income,BEA,Annual,Montana,"$48,864",7,"3,648"
135755,Ravalli,2016,Per capita income,BEA,Annual,Montana,"$38,919",34,"42,088"
135757,Richland,2016,Per capita income,BEA,Annual,Montana,"$52,929",1,"11,482"
135759,Roosevelt,2016,Per capita income,BEA,Annual,Montana,"$33,914",49,"11,305"
135761,Powder River,2016,Per capita income,BEA,Annual,Montana,"$36,066",45,"1,746"
135763,Powell,2016,Per capita income,BEA,Annual,Montana,"$36,959",41,"6,858"
135765,Prairie,2016,Per capita income,BEA,Annual,Montana,"$38,146",37,"1,182"
135767,Petroleum,2016,Per capita income,BEA,Annual,Montana,"$49,505",4,489
135769,Phillips,2016,Per capita income,BEA,Annual,Montana,"$37,247",39,"4,133"
135771,Pondera,2016,Per capita income,BEA,Annual,Montana,"$39,017",33,"6,084"
135772,Missoula,2016,Per capita income,BEA,Annual,Montana,"$44,134",16,"116,130"
135775,Musselshell,2016,Per capita income,BEA,Annual,Montana,"$38,443",36,"4,589"
135777,Park,2016,Per capita income,BEA,Annual,Montana,"$45,647",12,"16,114"
135778,Madison,2016,Per capita income,BEA,Annual,Montana,"$48,748",8,"7,924"
135780,Meagher,2016,Per capita income,BEA,Annual,Montana,"$42,170",24,"1,827"
135782,Mineral,2016,Per capita income,BEA,Annual,Montana,"$33,617",50,"4,184"
135784,Liberty,2016,Per capita income,BEA,Annual,Montana,"$34,038",48,"2,409"
135786,Lincoln,2016,Per capita income,BEA,Annual,Montana,"$33,464",51,"19,259"
135788,McCone,2016,Per capita income,BEA,Annual,Montana,"$43,988",17,"1,700"
135791,Lake,2016,Per capita income,BEA,Annual,Montana,"$34,183",47,"29,758"
135793,Lewis and Clark,2016,Per capita income,BEA,Annual,Montana,"$44,733",13,"67,282"
135797,Hill,2016,Per capita income,BEA,Annual,Montana,"$41,321",26,"16,542"
135799,Jefferson,2016,Per capita income,BEA,Annual,Montana,"$43,540",20,"11,853"
135801,Judith Basin,2016,Per capita income,BEA,Annual,Montana,"$48,981",6,"1,940"
135803,Glacier,2016,Per capita income,BEA,Annual,Montana,"$31,869",53,"13,694"
135805,Golden Valley,2016,Per capita income,BEA,Annual,Montana,"$49,017",5,831
135807,Granite,2016,Per capita income,BEA,Annual,Montana,"$36,868",42,"3,368"
135810,Gallatin,2016,Per capita income,BEA,Annual,Montana,"$47,959",9,"104,502"
